uid,gender,status,statusUpdatedAt,statusPrevious,age,areaCode,state,recurrence,activation date,end portability date,current package
3aKIHtfTrneDQjYqNv9Tk9q2voq1,masculino,active,2/11/2021,cancelRequested,33,11,SP,monthly,10/27/2020,2/19/2021,customPackage
3adXV8TAsxfQFJWk7yytuo8u8GJ3,masculino,active,2/21/2021,processingSubscription,31,11,SP,monthly,10/21/2020,10/24/2020,customPackage
3baWwS9WJsQav0gGgRJemzNe1vV2,feminino,active,2/21/2021,processingSubscription,30,11,SP,monthly,10/22/2020,10/27/2020,customPackage
3bsphYotSCTmgPJ72RET6C4QlSb2,masculino,active,2/27/2021,processingSubscription,30,11,SP,monthly,6/29/2020,7/2/2020,customPackage
3cqx3oadLEcsxHMDSJeDaxzWLws2,feminino,active,2/9/2021,processingSubscription,30,11,SP,monthly,12/9/2020,,customPackage
3d6UpUI6yKeUvDnxCO1Fyc8FVHB3,feminino,paused,3/6/2021,paymentFailedSubscription,27,14,SP,monthly,2/4/2021,,customPackage
3drMBJj93qgr9A2I5DsS4O1O4wi2,feminino,paused,1/2/2021,active,32,19,SP,weekly,12/19/2020,,customPackage
3eCwof41TrN7Dh0aIyWVjQfVxHw1,masculino,canceled,12/18/2020,cancelRequested,26,17,SP,weekly,8/9/2020,,customPackage
3eT3IM0yKJQSSLY8mBI6dLM5JAm2,masculino,canceled,12/18/2020,cancelRequested,36,19,SP,weekly,11/4/2020,,customPackage
3f2U4AObg6Oib7C81wVF8eEpyEI2,masculino,active,3/8/2021,processingSubscription,21,16,SP,weekly,7/20/2020,,customPackage
3fAxmhOziAYyEr9TE5WlVAa2jDE2,feminino,canceled,1/7/2021,cancelRequested,24,11,SP,weekly,10/14/2020,10/20/2020,customPackage
3fUpAKNg3RSY9ZALVwXyjouB7Oz1,masculino,active,2/26/2021,activationComplete,26,11,SP,monthly,2/26/2021,3/3/2021,madePackage-0
3gGfD9ELMQNteajjbs3NnIfGyZJ3,masculino,cancelRequested,3/6/2021,paused,36,19,SP,weekly,10/22/2020,,customPackage
3iDisJo3noMq1eYlEyCbnCRQMe02,feminino,paused,2/7/2021,paymentFailedSubscription,25,61,DF,monthly,11/4/2020,,customPackage
3iNsMG51fMgxFMvJiRW86VVix9f1,masculino,canceled,2/18/2021,cancelRequested,23,11,SP,weekly,9/1/2020,,customPackage
3jBaYzsZMMcByFmPxi7OXGDSus52,masculino,active,2/28/2021,processingSubscription,51,21,RJ,monthly,1/28/2021,3/5/2021,customPackage
3kO7KmjI2iOsYaxKNENg97FYjnE2,masculino,paused,1/13/2021,paymentFailedSubscription,30,18,SP,monthly,12/10/2020,12/15/2020,customPackage
